Customer ID,Recency,Frequency,Monetary,DistinctProducts,Country,HighValue
12522,39,2,192.72,11,Germany,0
12523,19,23,4372.15,176,France,1
12524,9,17,11126.11,157,Germany,1
12525,498,3,973.73,56,France,0
12526,1,3,1316.66,64,Germany,0
12527,82,5,735.51,26,Germany,0
12528,9,6,1933.48,50,Germany,0
12529,528,1,316.48,21,France,0
12530,60,9,3759.26,94,Germany,1
12531,15,2,1933.2,126,Germany,0
12532,30,1,349.83000000000004,16,France,0
12533,628,2,1367.89,63,Germany,0
12534,131,1,1089.18,63,Germany,0
12535,92,2,716.35,28,France,0
12536,43,3,12601.830000000002,260,France,1
12537,409,1,732.94,43,Sweden,0
12538,29,2,640.45,33,Spain,0
12539,22,7,11214.75,276,Spain,1
12540,20,33,22254.49,354,Spain,1
12541,30,3,981.18,46,Spain,0
12542,484,2,481.88,39,Spain,0
12543,448,1,980.25,43,Spain,0
12544,36,1,372.7,19,Spain,0
12545,75,2,1000.39,42,Spain,0
12546,47,2,1161.5,59,Spain,0
12547,198,3,383.58,13,Spain,0
12548,166,1,95.19999999999999,5,Spain,0
12549,576,6,1575.68,38,USA,0
12550,79,1,964.83,57,Spain,0
12551,358,1,168.0,10,Spain,0
12552,39,2,437.82,20,Italy,0
12553,8,12,4608.75,109,France,1
12554,449,1,468.5,26,Spain,0
12555,682,1,129.23,1,Spain,0
12556,50,2,603.71,100,Spain,0
12557,16,8,18716.14,15,Spain,1
12558,8,1,269.96,11,USA,0
12559,311,2,561.71,21,Germany,0
12560,5,3,2134.01,91,Germany,0
12561,303,1,238.85,16,Germany,0
12562,8,9,4966.92,113,France,1
12563,409,1,249.24,13,Italy,0
12564,261,1,456.9,21,France,0
12565,289,1,145.92,9,Saudi Arabia,0
12566,86,1,351.65,19,Germany,0
12567,23,15,13709.86,365,France,1
12568,645,1,70.0,5,Germany,0
12569,2,32,4124.69,92,Germany,1
12570,682,1,77.52,1,Spain,0
12571,40,2,519.61,31,France,0
12572,9,2,1020.42,53,Germany,0
12573,227,5,717.41,107,France,0
12574,316,1,218.45,11,France,0
12575,457,2,622.8199999999999,34,France,0
12576,36,8,2142.72,114,Poland,0
12577,35,8,1653.75,259,France,0
12578,21,4,4642.45,149,Italy,1
12579,78,1,440.42,29,France,0
12580,247,2,1052.9,52,Germany,0
12581,40,1,197.71,15,Germany,0
12582,239,4,1980.4,88,Finland,0
12583,3,27,14447.44,141,France,1
12584,4,9,2338.15,44,Italy,1
12585,234,2,2040.1,77,Germany,0
12586,17,4,2062.67,82,Italy,0
12587,8,1,144.0,4,Finland,0
12588,39,4,958.78,31,Finland,0
12589,29,8,4695.66,121,France,1
12590,211,2,9864.26,68,Germany,1
12591,317,3,1352.15,63,Italy,0
12592,92,5,2582.66,42,Germany,1
12593,109,3,418.09999999999997,14,France,0
12594,38,15,5090.110000000001,78,Italy,1
12595,505,1,299.02,19,Germany,0
12596,51,2,618.27,25,Spain,0
12597,19,4,3811.22,184,Spain,1
12598,10,11,4534.09,130,France,1
12599,29,13,2296.72,47,France,0
12600,29,21,5043.92,53,Germany,1
12601,190,6,681.26,24,Germany,0
12602,59,1,153.12,12,France,0
12603,22,1,739.1999999999999,2,Germany,0
12604,79,2,254.18,15,France,0
12605,376,4,1232.95,63,Germany,0
12606,682,1,21.0,1,Spain,0
12607,60,1,1579.51,101,USA,0
12608,405,1,415.79,16,United Kingdom,0
12609,78,9,3435.86,129,Germany,1
12610,23,5,2099.54,85,Italy,0
12611,52,1,1193.32,65,Italy,0
12612,74,1,704.0400000000001,19,Germany,0
12613,57,10,6835.07,218,Germany,1
12614,278,1,315.6,20,Germany,0
12615,2,8,5740.98,198,France,1
12616,95,3,1131.1,32,France,0
12617,29,1,355.53,39,France,0
12618,22,1,177.31,11,Italy,0
12619,16,10,3781.38,55,Germany,1
12620,15,3,1339.41,89,France,0
12621,2,35,24775.81,344,Germany,1
12622,232,1,180.1,11,Germany,0
12623,276,7,3747.84,112,Germany,1
12624,106,2,641.13,36,France,0
12625,212,4,5164.88,144,Germany,1
12626,23,9,6620.48,232,Germany,1
12627,11,7,4478.53,162,Germany,1
12628,4,3,786.46,34,Germany,0
12629,386,2,1558.22,40,Sweden,0
12630,10,2,1270.88,60,Finland,0
12631,57,6,3481.57,131,Finland,1
12632,521,2,804.88,32,Germany,0
12633,59,7,5678.16,220,Germany,1
12634,536,2,490.0,20,USA,0
12635,90,4,2930.41,159,Germany,1
12636,739,1,141.0,1,USA,0
12637,67,12,8340.31,295,France,1
12638,33,2,921.49,47,Sweden,0
12639,239,3,1312.37,58,Sweden,0
12640,24,3,1174.58,47,France,0
12641,115,1,185.9,10,Sweden,0
12642,25,3,1013.26,39,Germany,0
12643,128,12,8350.42,14,France,1
12644,130,4,1918.49,106,Germany,0
12645,34,8,3539.3,111,Germany,1
12646,5,2,1346.97,43,USA,0
12647,22,36,17924.35,240,Germany,1
12648,155,4,1112.0,38,Germany,0
12649,107,8,2294.65,94,Germany,0
12650,3,1,314.44,20,France,0
12651,335,4,377.75,30,France,0
12652,331,2,1017.03,51,Germany,0
12653,149,3,4160.83,76,Israel,1
12654,11,5,601.98,31,Germany,0
12655,424,1,261.35,16,France,0
12656,17,8,6407.83,174,France,1
12657,11,4,1643.18,35,France,0
12658,19,1,686.05,36,Germany,0
12659,30,1,91.68,5,France,0
12660,11,1,245.1,13,France,0
12661,436,1,162.0,11,Sweden,0
12662,1,20,6988.02,163,Germany,1
12663,625,2,239.4,9,Germany,0
12664,8,11,6070.04,10,Finland,1
12665,325,3,313.6,13,Germany,0
12666,394,1,1248.42,31,Israel,0
12667,58,1,620.13,33,Finland,0
12668,12,10,11444.68,263,Germany,1
12669,151,3,2744.0299999999997,98,France,1
12670,10,7,3760.29,71,France,1
12671,606,1,2622.481,45,Germany,1
12672,330,2,437.05,22,France,0
12673,5,3,1230.02,68,Germany,0
12674,39,4,1970.6,52,France,0
12675,554,2,958.5,111,Italy,0
12676,25,11,2843.09,67,Sweden,1
12677,555,2,395.1,13,France,0
12678,42,21,34281.18,199,France,1
12679,59,4,1113.02,43,France,0
12680,1,4,880.81,33,France,0
12681,15,45,30868.28,459,France,1
12682,4,52,24033.91,327,France,1
12683,4,21,12696.78,236,France,1
12684,8,7,2283.63,61,France,0
12685,28,6,2863.08,117,France,1
12686,372,1,178.28,7,France,0
12687,481,2,2138.91,126,Sweden,0
12688,114,1,4873.8099999999995,171,Israel,1
12689,26,2,1247.61,57,France,0
12690,206,1,389.01,16,France,0
12691,28,7,1170.4,24,France,0
12692,637,1,110.95,13,France,0
12693,127,7,1703.02,63,Germany,0
12694,70,3,1843.35,69,France,0
12695,7,7,1407.1200000000001,46,France,0
12696,435,2,851.91,43,Finland,0
12697,29,3,957.59,37,Sweden,0
12698,590,1,339.75,16,Germany,0
12699,418,1,638.11,41,Germany,0
12700,8,4,4939.99,193,France,1
12701,80,6,2446.41,118,Germany,1
12702,20,1,219.0,12,Germany,0
12703,71,4,1006.53,56,Germany,0
12704,7,8,2340.84,64,Finland,1
12705,15,14,11762.1,320,Germany,1
12707,292,1,603.42,33,France,0
12708,30,18,5314.1,130,Germany,1
12709,15,34,31093.34,189,Germany,1
12710,97,3,1149.02,75,Germany,0
12711,612,2,1339.05,56,Germany,0
12712,29,21,7193.66,126,Germany,1
12713,1,1,848.55,38,Germany,0
12714,9,12,14093.71,436,France,1
12715,106,1,353.86,20,Sweden,0
12716,4,2,1053.49,60,France,0
12717,151,3,1308.91,60,Greece,0
12718,71,1,238.25,19,France,0
12719,5,2,644.95,34,France,0
12720,3,30,8260.67,262,Germany,1
12721,32,8,4013.08,183,France,1
12722,85,4,997.63,50,France,0
12723,4,5,725.07,53,France,0
12724,5,7,2317.52,94,France,1
12725,371,4,2694.56,92,Italy,1
12726,28,11,4014.6,63,France,1
12727,11,10,5679.53,132,France,1
12728,71,5,1070.17,48,France,0
12729,114,1,453.01,26,France,0
12730,522,1,829.25,47,Germany,0
12731,24,17,25775.71,137,France,1
12732,180,1,236.26000000000002,12,France,0
12733,234,4,2424.87,117,USA,1
12734,353,3,639.65,17,France,0
12735,315,2,779.5699999999999,38,France,0
12736,333,1,234.0,4,France,0
12737,499,2,3710.5,2,France,1
12738,372,1,310.7,11,Germany,0
12739,78,4,2726.73,85,United Arab Emirates,1
12740,64,1,427.6,27,France,0
12741,529,2,406.07,16,USA,0
12742,626,1,1201.52,67,United Arab Emirates,0
12743,134,2,546.43,114,Unspecified,0
12744,52,11,25317.06,245,Singapore,1
12745,487,3,925.41,21,EIRE,0
12746,541,1,254.55,17,United Kingdom,0
12747,2,26,9276.539999999999,85,United Kingdom,1
12748,1,336,56599.39,2286,United Kingdom,1
12749,4,9,6897.36,260,United Kingdom,1
12750,129,1,275.88,15,Poland,0
12751,445,1,268.27,61,Brazil,0
12752,81,1,4366.78,53,Norway,1
12753,23,6,21429.39,132,Japan,1
12754,236,3,3010.74,49,Japan,1
12755,281,11,9030.66,34,Japan,1
12756,87,1,112.07999999999998,4,Japan,0
12757,16,13,7857.1,237,Portugal,1
12758,117,7,9903.24,187,Portugal,1
12759,52,8,5020.74,206,Netherlands,1
12760,456,1,347.8,21,Netherlands,0
12761,458,2,782.95,27,Netherlands,0
12762,8,2,1898.52,62,Portugal,0
12763,138,2,814.16,16,Japan,0
12764,317,1,1693.88,45,Lebanon,0
12765,472,6,1404.58,49,Netherlands,0
12766,4,9,10068.28,253,Portugal,1
12767,376,1,949.82,43,Korea,0
12768,451,1,168.69000000000003,10,Korea,0
12769,239,1,1143.6,32,Brazil,0
12770,211,2,3246.45,19,Japan,1
12771,486,1,282.3,15,Portugal,0
12772,60,1,892.47,55,Portugal,0
12773,564,1,124.25,6,Portugal,0
12774,536,1,98.7,6,Netherlands,0
12775,17,7,1686.12,55,Netherlands,0
12776,668,1,55.5,4,Portugal,0
12777,458,1,519.45,26,United Kingdom,0
12778,20,9,1775.68,77,Netherlands,0
12779,38,14,6722.2699999999995,142,Poland,1
12780,599,1,337.4,20,Netherlands,0
12781,64,2,826.74,25,Czech Republic,0
12782,5,11,4618.24,142,Portugal,1
12783,2,6,2225.91,76,Portugal,0
12784,9,3,1804.75,121,Portugal,0
12785,364,3,1100.4,42,Portugal,0
12786,610,1,728.5,18,Netherlands,0
12787,10,4,862.18,30,Netherlands,0
12788,463,4,444.9,20,Netherlands,0
12789,65,3,273.35,5,Netherlands,0
12790,192,2,591.85,36,Netherlands,0
12791,374,6,1056.1100000000001,17,Netherlands,0
12792,257,2,827.01,39,Portugal,0
12793,335,3,1017.33,34,Portugal,0
12794,53,2,860.41,43,Portugal,0
12795,19,1,430.48,14,Portugal,0
12796,628,1,381.0,7,Netherlands,0
12797,366,2,806.11,27,Portugal,0
12798,10,4,8510.93,27,Japan,1
12799,529,1,219.35,15,Japan,0
12800,470,3,584.25,31,Portugal,0
12801,501,1,1071.82,50,Sweden,0
12802,187,7,2416.42,108,Netherlands,1
12803,393,1,1092.81,55,Netherlands,0
12804,466,2,327.02,60,Netherlands,0
12805,382,4,1434.95,44,Netherlands,0
12806,435,4,2878.96,58,Netherlands,1
12807,383,1,330.35,16,Sweden,0
12808,37,5,906.1,46,Portugal,0
12809,178,3,1755.94,75,Portugal,0
12810,535,2,534.99,32,Japan,0
12811,261,5,1033.9,47,Portugal,0
12812,45,1,229.64000000000001,15,Japan,0
12813,502,3,1687.8,37,Netherlands,0
12814,102,1,125.92,2,Poland,0
12815,148,2,1063.46,38,Poland,0
12816,96,2,572.2,27,Poland,0
12817,281,3,690.98,16,Austria,0
12818,262,1,1542.08,14,Austria,0
12819,458,1,540.52,19,United Kingdom,0
12820,3,11,2689.52,131,United Kingdom,1
12821,214,2,220.8,13,United Kingdom,0
12822,71,2,948.88,41,United Kingdom,0
12823,75,18,6501.5,1,United Kingdom,1
12824,60,1,397.12,25,United Kingdom,0
12825,521,2,518.63,20,United Kingdom,0
12826,3,12,2955.75,93,United Kingdom,1
12827,6,3,430.15000000000003,19,United Kingdom,0
12828,3,6,1018.71,46,United Kingdom,0
12829,337,3,385.3,17,United Kingdom,0
12830,38,6,6814.64,13,United Kingdom,1
12831,262,3,451.11,16,United Kingdom,0
12832,32,2,383.03,27,United Kingdom,0
12833,145,1,417.38,24,United Kingdom,0
12834,283,1,312.38,18,United Kingdom,0
12835,428,41,6043.31,138,United Kingdom,1
12836,59,15,6585.62,280,United Kingdom,1
12837,173,2,688.41,83,United Kingdom,0
12838,34,10,3398.48,230,United Kingdom,1
12839,3,26,10071.73,156,United Kingdom,1
12840,144,7,4041.97,109,United Kingdom,1
12841,5,40,7540.68,307,United Kingdom,1
12842,70,4,1917.99,45,United Kingdom,0
12843,66,30,6588.41,130,United Kingdom,1
12844,29,4,648.6,88,United Kingdom,0
12845,267,4,354.09,26,United Kingdom,0
12846,682,1,15.58,1,United Kingdom,0
12847,22,2,1636.8999999999999,100,United Kingdom,0
12848,676,1,208.0,16,United Kingdom,0
12849,31,6,3090.56,123,United Kingdom,1
12850,446,1,330.0,2,United Kingdom,0
12851,97,2,284.13,71,United Kingdom,0
12852,295,1,311.55,17,United Kingdom,0
12853,135,11,3907.5,111,United Kingdom,1
12854,79,7,2994.02,188,United Kingdom,1
12855,373,4,650.9399999999999,65,United Kingdom,0
12856,8,6,2179.93,155,United Kingdom,0
12857,211,6,3688.0,71,United Kingdom,1
12858,383,1,177.92,36,United Kingdom,0
12859,459,1,575.1,21,United Kingdom,0
12860,693,1,55.47,16,United Kingdom,0
12861,620,1,68.25,4,United Kingdom,0
12862,426,2,1008.3199999999999,119,United Kingdom,0
12863,52,6,2792.5499999999997,24,United Kingdom,1
12864,138,2,299.57,5,United Kingdom,0
12865,26,4,3323.47,156,Austria,1
12866,283,3,1227.35,58,Belgium,0
12867,26,13,7913.29,365,United Kingdom,1
12868,186,8,2247.06,86,United Kingdom,0
12869,682,1,337.66999999999996,35,United Kingdom,0
12870,375,3,1676.95,85,United Kingdom,0
12871,84,3,744.02,13,United Kingdom,0
12872,327,12,3685.4900000000002,217,United Kingdom,1
12873,282,3,2027.3,33,United Kingdom,0
12874,385,2,948.42,44,Belgium,0
12875,143,5,1356.99,2,United Kingdom,0
12876,58,4,4081.79,117,Belgium,1
12877,4,20,2955.17,149,United Kingdom,1
12878,236,2,854.99,38,United Kingdom,0
12879,45,3,573.22,7,United Kingdom,0
12880,382,2,640.13,32,United Kingdom,0
12881,276,1,298.0,7,United Kingdom,0
12882,9,2,1463.04,12,United Kingdom,0
12883,25,4,703.47,39,United Kingdom,0
12884,88,1,309.05,7,United Kingdom,0
12885,63,3,1175.22,66,United Kingdom,0
12886,68,2,1378.4,75,United Kingdom,0
12887,384,1,222.4,13,United Kingdom,0
12888,214,2,354.12,4,United Kingdom,0
12889,381,4,385.46000000000004,25,United Kingdom,0
12890,24,2,717.27,124,United Kingdom,0
12891,186,11,840.5,2,United Kingdom,0
12892,397,1,263.38,18,United Kingdom,0
12893,31,1,188.14,27,United Kingdom,0
12894,575,1,157.35,21,United Kingdom,0
12895,42,2,372.8,22,United Kingdom,0
12897,205,4,514.25,10,United Kingdom,0
12898,464,2,310.96000000000004,27,United Kingdom,0
12899,414,1,366.4,17,United Kingdom,0
12900,422,1,340.33,13,United Kingdom,0
12901,9,28,17654.54,30,United Kingdom,1
12902,265,1,138.68,10,United Kingdom,0
12903,429,1,833.53,41,United Kingdom,0
12904,18,2,509.58,59,United Kingdom,0
12905,577,2,1018.42,52,United Kingdom,0
12906,12,5,2919.81,55,United Kingdom,1
12907,396,2,508.91,23,United Kingdom,0
12908,176,5,1776.0,1,United Kingdom,0
12909,40,8,3103.19,120,United Kingdom,1
12910,23,13,5796.52,75,United Kingdom,1
12911,552,1,1680.47,220,United Kingdom,0
12912,3,5,1662.3,17,United Kingdom,0
12913,5,13,6700.860000000001,52,United Kingdom,1
12914,401,1,223.98,9,United Kingdom,0
12915,149,4,1174.75,46,United Kingdom,0
12916,139,7,4654.0199999999995,82,United Kingdom,1
12917,128,6,4359.2,45,United Kingdom,1
12918,626,1,10953.5,1,United Kingdom,1
12919,8,6,1335.19,34,United Kingdom,0
12920,17,4,488.09000000000003,59,United Kingdom,0
12921,9,74,35921.04,322,United Kingdom,1
12922,161,1,405.38,28,United Kingdom,0
12923,64,3,789.87,54,United Kingdom,0
12924,88,12,2469.4,56,United Kingdom,1
12925,5,3,729.3299999999999,46,United Kingdom,0
12926,411,4,1548.46,202,United Kingdom,0
12927,395,1,197.31,11,United Kingdom,0
12928,35,12,4304.89,94,United Kingdom,1
12929,312,1,117.85,8,United Kingdom,0
12930,78,2,415.8,20,United Kingdom,0
12931,22,57,92347.34,37,United Kingdom,1
12932,539,8,1698.56,69,United Kingdom,0
12933,24,8,1687.03,227,United Kingdom,0
12934,737,1,181.65,2,United Kingdom,0
12935,2,15,4243.86,113,United Kingdom,1
12936,17,4,1063.9,56,United Kingdom,0
12937,15,9,3097.61,128,United Kingdom,1
12938,26,1,114.14,9,United Kingdom,0
12939,64,20,25264.8,24,United Kingdom,1
12940,55,2,913.54,87,United Kingdom,0
12941,724,1,377.49,27,United Kingdom,0
12942,131,3,942.65,68,United Kingdom,0
12943,558,2,496.5,22,United Kingdom,0
12944,36,2,604.51,29,United Kingdom,0
12945,288,2,900.11,47,United Kingdom,0
12946,437,1,324.45,20,United Kingdom,0
12947,144,6,1908.03,83,United Kingdom,0
12948,16,9,2317.43,89,United Kingdom,1
12949,31,22,15526.7,347,United Kingdom,1
12950,2,3,1843.0,13,United Kingdom,0
12951,9,15,3213.7200000000003,110,United Kingdom,1
12952,6,4,1387.79,64,United Kingdom,0
12953,10,2,828.8100000000001,45,United Kingdom,0
12954,639,1,162.45,10,United Kingdom,0
12955,1,11,4757.16,81,United Kingdom,1
12956,306,4,521.89,42,United Kingdom,0
12957,10,13,8706.97,402,United Kingdom,1
12958,400,2,539.49,45,United Kingdom,0
12959,484,1,150.95,8,United Kingdom,0
12960,414,4,1322.07,49,United Kingdom,0
12961,379,1,211.99,37,United Kingdom,0
12962,7,2,266.39,15,United Kingdom,0
12963,8,12,3601.59,129,United Kingdom,1
12964,437,1,132.24,26,United Kingdom,0
12965,89,1,771.91,108,United Kingdom,0
12966,10,1,160.18,10,United Kingdom,0
12967,358,3,4306.92,47,United Kingdom,1
12968,112,1,135.95,5,United Kingdom,0
12969,603,1,122.45,5,United Kingdom,0
12970,7,10,1524.97,280,United Kingdom,0
12971,4,116,15972.79,102,United Kingdom,1
12972,414,4,1161.2,69,United Kingdom,0
12973,414,1,385.55,6,United Kingdom,0
12974,198,2,408.95,27,United Kingdom,0
12975,437,6,2100.09,92,United Kingdom,0
12976,212,8,3156.38,106,United Kingdom,1
12977,156,4,517.63,54,United Kingdom,0
12978,385,5,2502.82,126,United Kingdom,1
12979,729,1,517.7,56,United Arab Emirates,0
12980,158,21,16245.78,7,United Kingdom,1
12981,30,2,372.21999999999997,12,United Kingdom,0
12982,243,8,2744.81,139,United Kingdom,1
12983,598,1,490.08000000000004,30,United Kingdom,0
12984,19,1,97.5,4,United Kingdom,0
12985,1,2,1239.38,73,United Kingdom,0
12986,429,10,2729.84,61,United Kingdom,1
12987,74,5,1312.21,61,United Kingdom,0
12988,292,1,535.32,75,United Kingdom,0
12989,3,33,13551.75,50,United Kingdom,1
12990,31,7,955.5,9,United Kingdom,0
12991,23,3,764.82,45,United Kingdom,0
12992,725,1,93.35000000000001,6,United Kingdom,0
12993,23,8,1259.6299999999999,57,United Kingdom,0
12994,4,3,974.4200000000001,52,United Kingdom,0
12995,85,1,211.32,3,United Kingdom,0
12996,376,1,355.5,22,United Kingdom,0
12997,22,8,2110.91,65,United Kingdom,0
12998,493,3,920.08,58,United Kingdom,0
12999,196,3,455.88,25,United Kingdom,0
13000,107,4,1032.5,57,United Kingdom,0
13001,4,33,24172.100000000002,300,United Kingdom,1
13002,318,3,414.13,19,United Kingdom,0
13003,106,3,149.05,4,United Kingdom,0
13004,12,36,11650.85,417,United Kingdom,1
13005,174,4,999.68,41,United Kingdom,0
13006,56,1,81.57,4,United Kingdom,0
13007,580,1,175.25,11,United Kingdom,0
13008,323,3,612.13,31,United Kingdom,0
13009,673,1,234.0,4,United Kingdom,0
13010,374,2,330.12,10,United Kingdom,0
13011,372,1,101.10000000000001,3,United Kingdom,0
13012,9,11,2972.83,95,United Kingdom,1
13013,1,29,12625.77,289,United Kingdom,1
13014,11,11,5381.08,140,United Kingdom,1
13015,53,11,6586.42,260,United Kingdom,1
13016,73,3,789.89,39,United Kingdom,0
13017,7,1,204.0,1,United Kingdom,0
13018,16,35,9763.16,401,United Kingdom,1
